### Surf Condition Ratings

| Timestamp           | Wave Height (m) | Wind Speed (kph) | Rating     | Notes                                               |
|---------------------|------------------|------------------|------------|-----------------------------------------------------|
| 2026-05-12T00:00    | 0.9              | 14.6             | Ideal      | Calm conditions for beginners.                     |
| 2026-05-12T01:00    | 0.88             | 13.2             | Ideal      | Stable surf.                                       |
| 2026-05-12T02:00    | 0.88             | 11.7             | Ideal      | Consistent conditions.                              |
| 2026-05-12T03:00    | 0.86             | 6.1              | Ideal      | Excellent conditions for all levels.               |
| 2026-05-12T04:00    | 0.84             | 8.9              | Ideal      | Offshore winds, perfect for surfing.               |
| 2026-05-12T05:00    | 0.84             | 9.2              | Ideal      | Great surf conditions continue.                     |
| 2026-05-12T06:00    | 0.82             | 9.0              | Ideal      | Still ideal for all surfers.                        |
| 2026-05-12T07:00    | 0.82             | 8.0              | Ideal      | Very favorable conditions.                          |
| 2026-05-12T08:00    | 0.8              | 3.3              | Suitable   | Light winds, good for intermediate surfers.        |
| 2026-05-12T09:00    | 0.8              | 10.1             | Suitable   | Manageable swell for experienced surfers.          |
| 2026-05-12T10:00    | 0.8              | 19.3             | Suitable   | Slightly gusty conditions.                          |
| 2026-05-12T11:00    | 0.78             | 10.9             | Suitable   | All levels can enjoy.                              |
| 2026-05-12T12:00    | 0.78             | 15.0             | Suitable   | Approachable surf.                                 |
| 2026-05-12T13:00    | 0.78             | 19.3             | Suitable   | Good for experienced surfers.                       |
| 2026-05-12T14:00    | 0.8              | 20.2             | Suitable   | Wind picking up, still manageable.                 |
| 2026-05-12T15:00    | 0.8              | 19.0             | Suitable   | Consistent surf continues.                          |
| 2026-05-12T16:00    | 0.8              | 20.2             | Suitable   | Surf remains favorable.                             |
| 2026-05-12T17:00    | 0.82             | 23.2             | Challenging | Choppier conditions due to wind.                   |
| 2026-05-12T18:00    | 0.82             | 24.3             | Challenging | Rough surf, best for advanced surfers.             |
| 2026-05-12T19:00    | 0.82             | 22.8             | Challenging | Continued wind makes conditions challenging.       |
| 2026-05-12T20:00    | 0.84             | 22.1             | Challenging | Windy, suitable for advanced surfers only.         |
| 2026-05-12T21:00    | 0.84             | 19.5             | Challenging | Better than previous hours but still tricky.       |
| 2026-05-12T22:00    | 0.82             | 18.1             | Challenging | Conditions improving slightly.                      |
| 2026-05-12T23:00    | 0.82             | 16.1             | Suitable   | Better conditions for all.                          |
| 2026-05-13T00:00    | 0.8              | 15.8             | Suitable   | Manageable surf continues.                          |
| 2026-05-13T01:00    | 0.8              | 17.7             | Suitable   | Conditions remain stable.                           |
| 2026-05-13T02:00    | 0.8              | 20.8             | Suitable   | Increasing wind but still manageable.              |
| 2026-05-13T03:00    | 0.8              | 18.6             | Suitable   | Good for experienced surfers.                       |
| 2026-05-13T04:00    | 0.82             | 26.5             | Challenging | Windy, best for experts.                           |
| 2026-05-13T05:00    | 0.84             | 18.1             | Suitable   | More manageable conditions.                         |
| 2026-05-13T06:00    | 0.86             | 24.1             | Challenging | Conditions could be tricky.                         |
| 2026-05-13T07:00    | 0.88             | 26.2             | Challenging | Windy and choppy surf, best for advanced surfers.  |
| 2026-05-13T08:00    | 0.92             | 25.6             | Challenging | Conditions remain challenging.                      |
| 2026-05-13T09:00    | 0.94             | 24.2             | Challenging | Persistent wind makes it difficult.                |
| 2026-05-13T10:00    | 0.96             | 22.3             | Challenging | Still challenging conditions.                       |
| 2026-05-13T11:00    | 0.98             | 23.4             | Challenging | Windy, best for experienced surfers.               |
| 2026-05-13T12:00    | 1.0              | 24.0             | Challenging | Increasing wave height and wind speed.             |
| 2026-05-13T13:00    | 1.04             | 25.5             | Challenging | Continuing trend of challenging conditions.         |
| 2026-05-13T14:00    | 1.06             | 27.9             | Challenging | Best for very experienced surfers.                  |
| 2026-05-13T15:00    | 1.1              | 29.0             | Challenging | Windy with sizeable waves.                          |
| 2026-05-13T16:00    | 1.12             | 30.6             | Challenging | Challenging conditions persist.                     |
